Response ID,Date started,Date last action," [Yes, I have read the privacy policy and agree./ Ja, ich habe die Datenschutzerklärung gelesen und stimme zu.]",What is your current domain?,What is your current domain? [Other],What is your current position?,What is your current position? [Other],Do you use Jupyter Notebooks in your work?,Do you use Machine Learning in your work?,,"1. Main Menu  You can open the main menu by clicking the toolbar button.        With the sliders on the bottom, you can change the currently displayed epoch (user session) and the latest execution displayed. The epoch shows the number of times a user has created the session and Execution shows the number of times a user has executed the notebook in an epoch.          2. Execution Graph   The nodes in the execution graph denote the cells of a Jupyter Notebook and the edges are the dependencies between cells. Cells that are marked green denote if they have output, red cells denote error or deleted cells, and orange denotes if a data source has been used in the cell or edge.  You can move the nodes in the graph by dragging them to the desired position. By right-clicking and holding, you can open a context menu. You can select an option by moving your mouse to it and releasing the right button.    If you open the menu on a node, you can either open the execution info widget or the code difference widget. If you open it on an edge, you can open the execution info of the represented variable. If you click on a node group, you can focus the corresponding cell in the notebook.     3. Execution info widget   Here you can see all the information about the variables collected in an execution.       4. Code difference widget   Here you can see the changes that were made to the code of a cell in different epochs and executions. On the right side, you see the code of the execution you opened the widget with. On the other side, you can select an older version through the slider on the bottom.       5. Options menu   Here you can select options to show more information on the graph.       6. Environment information   By clicking the button highlighted beneath you can open information about the execution environment of the notebook including the kernel, programming language, and their versions.       7. Import information   Clicking the import info button will open the information about all external modules that were used in the notebook.       8. Code information   The Code information module provides the code along with the output that got executed in your selected epoch in a notebook-styled widget .       9. General information   The general information will display all data sources that were used during the selected epoch.",Which version of the kernel was used in epoch '1'? [7.22.0],Which version of the kernel was used in epoch '1'? [6.33.1],Which version of the kernel was used in epoch '1'? [5.45.3],Which external modules were used in epoch '1'? [matplotlib],Which external modules were used in epoch '1'? [keras],Which external modules were used in epoch '1'? [os],Which external modules were used in epoch '1'? [pandas],Which external modules were used in epoch '1'? [sklearn],Which external modules were used in epoch '1'? [numpy],Which external modules were used in epoch '1'? [seaborn],Which external modules were used in epoch '1'? [tensorflow],Are there any imported modules that were not used in epoch '3'? [numpy],Are there any imported modules that were not used in epoch '3'? [os],Are there any imported modules that were not used in epoch '3'? [pandas],Which one was the most used module in epoch '3'? [os],Which one was the most used module in epoch '3'? [seaborn],Which one was the most used module in epoch '3'? [numpy],Which one was the most used module in epoch '3'? [sklearn],Which data sources were used in the notebook? [D:/Projects/mnist-evaluation/data/train.csv],Which data sources were used in the notebook? [D:/Projects/mnist-evaluation/data/test.csv],Which data sources were used in the notebook? [D:/Projects/mnist-evaluation/data],In which execution and epoch the following figure got printed? [Epoch: 2 | Execution: 6],In which execution and epoch the following figure got printed? [Epoch: 1 | Execution: 10],In which execution and epoch the following figure got printed? [Epoch: 3 | Execution: 9],Which version of seaborn was used? [0.11.5],Which version of seaborn was used? [0.12.1],Which version of seaborn was used? [0.11.1],Which version of seaborn was used? [0.10.5],Which versions of python were used in the notebook? [2.9.1],Which versions of python were used in the notebook? [3.9.2],Which versions of python were used in the notebook? [3.7.6],When was the notebook last executed?,Are there any differences in the python and kernel version used in the notebook in different executions?,Which cells of the notebook in epoch '4' are dependent on the variable 'X_train'? [Cell 1],Which cells of the notebook in epoch '4' are dependent on the variable 'X_train'? [Cell 13],Which cells of the notebook in epoch '4' are dependent on the variable 'X_train'? [Cell 14],Which cells of the notebook in epoch '4' are dependent on the variable 'X_train'? [Cell 15],Which cells of the notebook in epoch '4' are dependent on the variable 'X_train'? [Cell 16],What is the accuracy score of the experiment in epoch '2' when RandomForestClassifier was used?,Has the train-test split ratio for the dataset changed during different executions?,How important is each MLProvLab module for the provenance management of computational experiments? [Execution Graph],How important is each MLProvLab module for the provenance management of computational experiments? [Input-Output Difference],How important is each MLProvLab module for the provenance management of computational experiments? [Environment Information],How important is each MLProvLab module for the provenance management of computational experiments? [Code Information],How important is each MLProvLab module for the provenance management of computational experiments? [Import information],How important is each MLProvLab module for the provenance management of computational experiments? [General Information],How important is each MLProvLab module for the provenance management of computational experiments? [Export Module],How easy is it to find provenance information of data science scripts using MLProvLab? [Inputs of previous executions],How easy is it to find provenance information of data science scripts using MLProvLab? [Outputs of previous executions],How easy is it to find provenance information of data science scripts using MLProvLab? [Datasets used],How easy is it to find provenance information of data science scripts using MLProvLab? [Modules used],How easy is it to find provenance information of data science scripts using MLProvLab? [Dependencies between cells],How easy is it to find provenance information of data science scripts using MLProvLab? [Deleted cells],How easy is it to find provenance information of data science scripts using MLProvLab? [Execution Environment],How easy is it to find provenance information of data science scripts using MLProvLab? [Execution Date and Time],Please rate the perceived usefulness of MLProvLab. [The system is easy to use],Please rate the perceived usefulness of MLProvLab. [The system is easy to navigate],Please rate the perceived usefulness of MLProvLab. [The system is complex],Please rate the perceived usefulness of MLProvLab. [It is easy to learn to use it],Please rate the perceived usefulness of MLProvLab. [The system is important for provenance and metadata management of notebooks],Would you like to use MLProvLab in your daily work ? [Yes],Would you like to use MLProvLab in your daily work ? [No],Would you like to use MLProvLab in your daily work ? [Maybe],Select the word(s) that best describe MLProvLab. [Efficient],Select the word(s) that best describe MLProvLab. [Comment],Select the word(s) that best describe MLProvLab. [User Friendly],Select the word(s) that best describe MLProvLab. [Comment],Select the word(s) that best describe MLProvLab. [Provides data provenance management],Select the word(s) that best describe MLProvLab. [Comment],Select the word(s) that best describe MLProvLab. [Needs improvement],Select the word(s) that best describe MLProvLab. [Comment],Select the word(s) that best describe MLProvLab. [Other],Select the word(s) that best describe MLProvLab. [Other comment],What new features or changes would you like to see in MLProvLab ?,Total time,Group time: Privacy Policy/Datenschutzerklärung,Question time: datapolicy,Group time: General Questions,Question time: currentdomain,Question time: role,Question time: useofnotebooks,Question time: ml,Group time: Testing MLProvLab,Question time: testmlprovlab,Group time: MLProvLab Introduction,Question time: mlprovlabintro,Group time: Evaluation Notebook Questions,Question time: kernel,Question time: modules,Question time: notused,Question time: mostused,Question time: datasource,Question time: epoch,Question time: seaborn,Question time: python,Question time: executedtime,Question time: anydifference,Question time: celldependency,Question time: accuracyscore,Question time: splitratio,Group time: General Impression of MLProvLab,Question time: moduleslike,Question time: navigation,Question time: likemlprovlab,Question time: likeability,Question time: description,Question time: features
11,2021-07-21 05:36:07,2021-07-21 06:01:54,Yes,Computer Science,,Master Student,,Yes,Yes,,,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,"Thu, 24 Jun 2021 10:26:21 GMT",No,No,Yes,No,Yes,Yes,0.96,No,Very Important,Very Important,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Important,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Yes,No,No,Yes,,Yes,,Yes,,No,,,,It is already a very good tool for Provenance Information tracking.,1548.99,8.23,,396.48,,,,,3.08,,148.42,,840.7,,,,,,,,,,,,,,152.08,,,,,,
14,2021-07-21 11:26:51,2021-07-21 11:48:52,Yes,Computer Science,,PhD Student,,No,No,,,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,"Thu, 24 Jun 2021 10:26:21 GMT",No,No,Yes,No,Yes,Yes,0.96,No,Very Important,Very Important,Average Importance,Absolutely Essential,Little Importance,Little Importance,Little Importance,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Difficult,Easy,Neither easy nor difficult,Agree,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,No,No,Yes,Yes,,No,,Yes,,No,,,,,1323.24,16.32,,21.27,,,,,10.23,,40.84,,1073.19,,,,,,,,,,,,,,161.39,,,,,,
17,2021-07-22 11:43:10,2021-07-22 12:07:22,Yes,Computer Science,,Undergraduate Student,,Sometimes,No,,,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,"Thu, 24 Jun 2021 10:11:14 GMT",No,No,Yes,No,Yes,Yes,0.96,No,Absolutely Essential,Very Important,Absolutely Essential,Absolutely Essential,Very Important,Very Important,Absolutely Essential,Very Easy,Easy,Very Easy,Very Easy,Very Easy,Easy,Very Easy,Easy,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Yes,No,No,No,,Yes,Information can be found very quickly,No,,No,,,,,1454.91,5.77,,38.2,,,,,90.83,,217.23,,851.55,,,,,,,,,,,,,,251.33,,,,,,
20,2021-07-22 15:00:26,2021-07-22 15:03:16,Yes,Computer Science,,Undergraduate Student,,No,No,,,Yes,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,"Thu, 24 Jun 2021 10:26:21 GMT",No,Yes,No,No,No,No,0.96,No,Average Importance,Average Importance,Average Importance,Average Importance,Average Importance,Average Importance,Average Importance,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither easy nor difficult,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,No,No,Yes,Yes,,Yes,,Yes,,No,,,,,172.45,3.25,,20.53,,,,,2.27,,3.34,,76.35,,,,,,,,,,,,,,66.71,,,,,,
24,2021-07-24 18:56:09,2021-07-24 19:46:13,Yes,Computer Science,,Undergraduate Student,,No,No,,,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,"Thu, 24 Jun 2021 10:26:21 GMT",No,No,Yes,No,Yes,Yes,0.96,No,Average Importance,Absolutely Essential,Average Importance,Absolutely Essential,Little Importance,Little Importance,Average Importance,Easy,Easy,Very Easy,Very Easy,Difficult,Neither easy nor difficult,Very Easy,Very Easy,Strongly agree,Neither agree nor disagree,Disagree,Strongly agree,Strongly agree,No,No,Yes,Yes,Required/Important information can easy be found when knowing the right context menu tab,Yes,,Yes,,No,,,,"Some tabs like ""Import info"" and ""General info"" could need a different name as they currently can be missinterpreted. Something like ""Imports used"" and ""External data"" would probably be less missleading.",3005.08,10.54,,30.2,,,,,119.36,,478.26,,1763.17,,,,,,,,,,,,,,603.55,,,,,,
26,2021-07-25 12:10:02,2021-07-25 12:19:17,Yes,Computer Science,,PhD Student,,Yes,Yes,,,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,"Thu, 24 Jun 2021 10:26:21 GMT",No,No,Yes,No,Yes,Yes,0.96,No,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Absolutely Essential,Very Easy,Very Easy,Very Easy,,Very Easy,Easy,Very Easy,Very Easy,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Yes,No,No,Yes,,Yes,,Yes,,No,,,,,557.79,3.16,,18.39,,,,,7.63,,8.83,,373.43,,,,,,,,,,,,,,146.35,,,,,,
27,2021-07-25 19:23:52,2021-07-25 20:07:45,Yes,Computer Science,,PostDoc,,Yes,Sometimes,,,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,Yes,No,No,Yes,No,"Thu, 24 Jun 2021 10:26:21 GMT",No,No,Yes,No,Yes,Yes,0.96,No,Very Important,Average Importance,Absolutely Essential,Absolutely Essential,Absolutely Essential,Little Importance,Absolutely Essential,Neither easy nor difficult,Neither easy nor difficult,Easy,Very Easy,Very Easy,Difficult,Very Easy,Very Easy,Agree,Neither agree nor disagree,Agree,Agree,Agree,No,No,Yes,No,,Yes,"User friendly but not entirely intuative, for instance the right click and hold function is easy to use but not something I would have found without instruction",Yes,,No,,,,"In the listed data sources within code info, the final / in the file locations is backwards. I am not sure if this is intentional but it may cause some problems for users if they wanted to collect this information and access these files in an automated fashion. 

Also, execution can be a bit of an overloaded word. I understood the meaning after referencing it within code info but I would probably rename it to something like cell execution to help to eliminate the other definitions for the word execution within this context. ",2637.23,5.93,,16.48,,,,,15.86,,428.45,,1016.81,,,,,,,,,,,,,,1153.7,,,,,,
30,2021-07-26 13:19:42,2021-07-26 13:58:52,Yes,Computer Science,,Undergraduate Student,,Yes,Yes,,,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,"Thu, 24 Jun 2021 10:26:21 GMT",No,No,Yes,No,Yes,Yes,0.96,No,Very Important,Average Importance,Little Importance,Absolutely Essential,Very Important,Very Important,Average Importance,Neither easy nor difficult,Neither easy nor difficult,Easy,Easy,Neither easy nor difficult,Easy,Easy,Easy,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Yes,No,No,Yes,,Yes,,Yes,,No,,,,"very cool 10/10, but strange code difference interface for cells (no changes)",1399.84,3.97,,12.74,,,,,16.29,,262.6,,1009.64,,,,,,,,,,,,,,94.6,,,,,,
31,2021-07-28 19:29:58,2021-07-28 20:24:45,Yes,Computer Science,,Undergraduate Student,,Sometimes,No,,,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,"Thu, 24 Jun 2021 10:26:21 GMT",No,No,Yes,No,Yes,Yes,0.96,No,Very Important,Very Important,Little Importance,Average Importance,Average Importance,Little Importance,Not Important At All,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Very Easy,Strongly agree,Agree,Disagree,Agree,Neither agree nor disagree,No,No,Yes,No,,Yes,,Yes,,No,,,,"Sometimes when I was fiddling with the Epoch- and Execution-Sliders it wouldn't let me drag the button and just showed me that little prohibited-sign. I think it thought I wanted to drag the whole slider away. To change epoch or execution I could only click on the slider when that was the case. And looking through every step was a pain that way. A little textbox where I can type in the number of the wanted epoch or execution would've been helpful then.
It came and went away a couple of times when I was resizing and repositioning the windows in the application I think. Didn't happen every time though.",3290.75,3.63,,50.97,,,,,124.27,,314.79,,1333.22,,,,,,,,,,,,,,1463.87,,,,,,
32,2021-07-29 10:27:49,2021-07-29 11:23:58,Yes,Computer Science,,PhD Student,,Yes,Yes,,,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,"Thu, 24 Jun 2021 10:26:21 GMT",No,No,No,No,Yes,Yes,0.96,No,Absolutely Essential,Very Important,Average Importance,Very Important,Very Important,Average Importance,Very Important,Easy,Neither easy nor difficult,Easy,Easy,Easy,Neither easy nor difficult,Very Easy,Very Easy,Agree,Neither agree nor disagree,Disagree,Agree,Strongly agree,Yes,No,No,No,,Yes,Easy to use. user interface can easily be learned and executed.,Yes,it becomes easier to keep the track of execution history. ,No,,,,,3375.65,35.46,,60.76,,,,,221.74,,1176.11,,1541.93,,,,,,,,,,,,,,339.65,,,,,,
